"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"43","onlinehotel.gui","src/onlinehotel/gui/CheckInCheckOutPanel.java","3","104","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"44","onlinehotel.gui","src/onlinehotel/gui/CheckInCheckOutPanel.java","3","105","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"45","onlinehotel.gui","src/onlinehotel/gui/CheckInCheckOutPanel.java","3","122","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"46","onlinehotel.gui","src/onlinehotel/gui/CheckInCheckOutPanel.java","3","124","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"47","onlinehotel.gui","src/onlinehotel/gui/CheckInCheckOutPanel.java","3","125","Avoid variables with short names like ok","Naming Rules","ShortVariable"
"48","onlinehotel.gui","src/onlinehotel/gui/CheckInCheckOutPanel.java","3","153","Avoid variables with short names like d1","Naming Rules","ShortVariable"
"49","onlinehotel.gui","src/onlinehotel/gui/CheckInCheckOutPanel.java","3","154","Avoid variables with short names like d2","Naming Rules","ShortVariable"
"50","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","3","25","This class has too many methods, consider refactoring it.","Code Size Rules","TooManyMethods"
"51","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","3","27","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"52","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","3","27","Private field 'manager' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"53","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","3","30","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"54","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","3","30","Private field 'loginAsCombo' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"55","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","3","31","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"56","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","3","31","Private field 'usernameField' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"57","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","3","32","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"58","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","3","32","Private field 'passwordField' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"59","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","3","49","Local variable 'loginPanel' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"60","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","3","65","Local variable 'loginAsLabel' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"61","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","3","69","Parameter 'event' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"62","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","3","70","Local variable 'comboBox' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"63","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","3","71","Local variable 'value' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"64","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","3","84","Local variable 'loginAsPanel' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"65","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","3","126","Avoid variables with short names like e","Naming Rules","ShortVariable"
"66","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","3","126","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"67","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","3","136","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"68","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","2","137","System.out.print is used","Java Logging Rules","SystemPrintln"
"69","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","3","138","System.exit() should not be used in J2EE/JEE apps","J2EE Rules","DoNotCallSystemExit"
"70","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","3","151","Parameter 'password' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"71","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","3","151","Parameter 'username' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"72","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","5","152","Found 'DD'-anomaly for variable 'isValidUser' (lines '152'-'154').","Controversial Rules","DataflowAnomalyAnalysis"
"73","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","5","152","Found 'DD'-anomaly for variable 'isValidUser' (lines '152'-'154').","Controversial Rules","DataflowAnomalyAnalysis"
"74","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","5","152","Found 'DD'-anomaly for variable 'isValidUser' (lines '152'-'156').","Controversial Rules","DataflowAnomalyAnalysis"
"75","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","5","152","Found 'DD'-anomaly for variable 'isValidUser' (lines '152'-'156').","Controversial Rules","DataflowAnomalyAnalysis"
"76","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","5","152","Found 'DD'-anomaly for variable 'isValidUser' (lines '152'-'158').","Controversial Rules","DataflowAnomalyAnalysis"
"77","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","5","152","Found 'DD'-anomaly for variable 'isValidUser' (lines '152'-'158').","Controversial Rules","DataflowAnomalyAnalysis"
"78","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","2","161","System.out.print is used","Java Logging Rules","SystemPrintln"
"79","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","3","163","To be compliant to J2EE, a webapp should not use any thread.","J2EE Rules","DoNotUseThreads"
"80","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","3","166","Avoid unused local variables such as 'mainFrame'.","Unused Code Rules","UnusedLocalVariable"
"81","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","5","166","Found 'DU'-anomaly for variable 'mainFrame' (lines '166'-'174').","Controversial Rules","DataflowAnomalyAnalysis"
"82","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","5","166","Found 'DU'-anomaly for variable 'mainFrame' (lines '166'-'174').","Controversial Rules","DataflowAnomalyAnalysis"
"83","onlinehotel.gui","src/onlinehotel/gui/LoginFrame.java","2","170","System.out.print is used","Java Logging Rules","SystemPrintln"
"84","onlinehotel.gui","src/onlinehotel/gui/MainTabbedFrame.java","4","4","Avoid unused imports such as 'java.awt.Dimension'","Type Resolution Rules","UnusedImports"
"85","onlinehotel.gui","src/onlinehotel/gui/MainTabbedFrame.java","4","4","Avoid unused imports such as 'java.awt.Dimension'","Type Resolution Rules","UnusedImports"
"86","onlinehotel.gui","src/onlinehotel/gui/MainTabbedFrame.java","3","21","Avoid unused private fields such as 'ADMIN_MODE'.","Unused Code Rules","UnusedPrivateField"
"87","onlinehotel.gui","src/onlinehotel/gui/MainTabbedFrame.java","3","23","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"88","onlinehotel.gui","src/onlinehotel/gui/MainTabbedFrame.java","3","23","Private field 'sqlManager' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"89","onlinehotel.gui","src/onlinehotel/gui/MainTabbedFrame.java","3","25","Parameter 'mode' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"90","onlinehotel.gui","src/onlinehotel/gui/MainTabbedFrame.java","3","35","Avoid variables with short names like e","Naming Rules","ShortVariable"
"91","onlinehotel.gui","src/onlinehotel/gui/MainTabbedFrame.java","3","35","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"92","onlinehotel.gui","src/onlinehotel/gui/MainTabbedFrame.java","3","38","System.exit() should not be used in J2EE/JEE apps","J2EE Rules","DoNotCallSystemExit"
"93","onlinehotel.gui","src/onlinehotel/gui/MainTabbedFrame.java","3","49","Parameter 'mode' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"94","onlinehotel.gui","src/onlinehotel/gui/MainTabbedFrame.java","3","50","Local variable 'panel' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"95","onlinehotel.gui","src/onlinehotel/gui/MainTabbedFrame.java","3","51","Local variable 'tabbedPane' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"96","onlinehotel.gui","src/onlinehotel/gui/MainTabbedFrame.java","3","54","Local variable 'tab' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"97","onlinehotel.gui","src/onlinehotel/gui/MainTabbedFrame.java","3","57","Local variable 'tab1' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"98","onlinehotel.gui","src/onlinehotel/gui/MainTabbedFrame.java","3","59","Local variable 'tab2' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"99","onlinehotel.gui","src/onlinehotel/gui/MainTabbedFrame.java","3","77","Parameter 'text' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"100","onlinehotel.gui","src/onlinehotel/gui/OfferPanel.java","3","24","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"101","onlinehotel.gui","src/onlinehotel/gui/OfferPanel.java","3","24","Private field 'sqlManager' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"102","onlinehotel.gui","src/onlinehotel/gui/OfferPanel.java","3","26","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"103","onlinehotel.gui","src/onlinehotel/gui/OfferPanel.java","3","26","Private field 'roomSelection' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"104","onlinehotel.gui","src/onlinehotel/gui/OfferPanel.java","3","27","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"105","onlinehotel.gui","src/onlinehotel/gui/OfferPanel.java","3","27","Private field 'discountField' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"106","onlinehotel.gui","src/onlinehotel/gui/OfferPanel.java","3","29","Parameter 'sqlManager' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"107","onlinehotel.gui","src/onlinehotel/gui/OfferPanel.java","3","46","Local variable 'rooms' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"108","onlinehotel.gui","src/onlinehotel/gui/OfferPanel.java","3","52","Parameter 'label' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"109","onlinehotel.gui","src/onlinehotel/gui/OfferPanel.java","3","52","Parameter 'space' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"110","onlinehotel.gui","src/onlinehotel/gui/OfferPanel.java","3","52","Parameter 'textField' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"111","onlinehotel.gui","src/onlinehotel/gui/OfferPanel.java","3","53","Local variable 'tfPanel' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"112","onlinehotel.gui","src/onlinehotel/gui/OfferPanel.java","3","63","Local variable 'button' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"113","onlinehotel.gui","src/onlinehotel/gui/OfferPanel.java","3","66","Avoid variables with short names like e","Naming Rules","ShortVariable"
"114","onlinehotel.gui","src/onlinehotel/gui/OfferPanel.java","3","66","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"115","onlinehotel.gui","src/onlinehotel/gui/OfferPanel.java","3","74","Local variable 'room' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"116","onlinehotel.gui","src/onlinehotel/gui/OfferPanel.java","3","75","Local variable 'discountStr' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"117","onlinehotel.gui","src/onlinehotel/gui/OfferPanel.java","3","78","Avoid variables with short names like ok","Naming Rules","ShortVariable"
"118","onlinehotel.gui","src/onlinehotel/gui/OnlineHotel.java","3","6","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"119","onlinehotel.gui","src/onlinehotel/gui/OnlineHotel.java","3","14","Local variable 'frame' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"120","onlinehotel.gui","src/onlinehotel/gui/OnlineHotel.java","3","18","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"121","onlinehotel.gui","src/onlinehotel/gui/OnlineHotel.java","3","21","To be compliant to J2EE, a webapp should not use any thread.","J2EE Rules","DoNotUseThreads"
"122","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","27","The class 'SearchBookRoomPanel' has a Cyclomatic Complexity of 3 (Highest = 17).","Code Size Rules","CyclomaticComplexity"
"123","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","27","This class has too many methods, consider refactoring it.","Code Size Rules","TooManyMethods"
"124","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","27","Too many fields","Code Size Rules","TooManyFields"
"125","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","29","The field name indicates a constant but its modifiers do not","Naming Rules","SuspiciousConstantFieldName"
"126","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","1","29","Variables should start with a lowercase character","Naming Rules","VariableNamingConventions"
"127","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","1","29","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"128","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","37","Avoid excessively long variable names like MAX_DAYS_PER_MONTH","Naming Rules","LongVariable"
"129","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","37","The field name indicates a constant but its modifiers do not","Naming Rules","SuspiciousConstantFieldName"
"130","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","54","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"131","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","54","Private field 'checkInDay' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"132","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","55","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"133","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","55","Private field 'checkInMonth' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"134","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","58","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"135","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","58","Private field 'checkOutDay' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"136","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","59","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"137","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","59","Private field 'checkOutMonth' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"138","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","61","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"139","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","61","Private field 'bedsNum' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"140","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","76","Parameter 'sqlManager' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"141","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","99","Local variable 'checkInLabel' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"142","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","103","Parameter 'event' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"143","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","104","Local variable 'monthSelection' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"144","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","109","Local variable 'checkInPanel' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"145","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","120","Parameter 'combo' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"146","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","120","Parameter 'monthSelection' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"147","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","123","Local variable 'maxDays' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"148","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","125","Do not add empty strings","Optimization Rules","AddEmptyString"
"149","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","131","Local variable 'checkOutLabel' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"150","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","135","Parameter 'event' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"151","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","171","Avoid variables with short names like e","Naming Rules","ShortVariable"
"152","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","178","Avoid variables with short names like e","Naming Rules","ShortVariable"
"153","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","277","The method 'searchDBForRooms' has a Cyclomatic Complexity of 11.","Code Size Rules","CyclomaticComplexity"
"154","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","282","Avoid excessively long variable names like checkOutMonthValue","Naming Rules","LongVariable"
"155","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","300","Substitute calls to size() == 0 (or size() != 0) with calls to isEmpty()","Design Rules","UseCollectionIsEmpty"
"156","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","337","The method 'roomBookingAction' has a Cyclomatic Complexity of 17.","Code Size Rules","CyclomaticComplexity"
"157","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","349","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"158","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","359","Avoid variables with short names like cd","Naming Rules","ShortVariable"
"159","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","365","Avoid variables with short names like c","Naming Rules","ShortVariable"
"160","onlinehotel.gui","src/onlinehotel/gui/SearchBookRoomPanel.java","3","374","Avoid excessively long variable names like checkOutMonthValue","Naming Rules","LongVariable"
"161","onlinehotel.model","src/onlinehotel/model/BookingDetails.java","3","21","Parameter 'roomNumber' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"162","onlinehotel.model","src/onlinehotel/model/BookingDetails.java","3","29","Parameter 'priceOnBooking' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"163","onlinehotel.model","src/onlinehotel/model/BookingDetails.java","3","37","Parameter 'discountOnBooking' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"164","onlinehotel.model","src/onlinehotel/model/BookingDetails.java","3","45","Parameter 'customer' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
